	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TCGA-86-7953-01A	0.0171434965052838	0.0118460358672271	0	0.0343059632644841	0	0.298221019157916	0.006863003480621	0.0356011423633344	0.0279374582885569	0	0.0380309144723862	0.00148262821244244	0.0673020543426705	0.0983811483441272	0.0437163812151592	0.176420093803642	0.0355916568696447	0.0331741774298614	0	0.050186953724351	0.00943794873260365	0.0143579239256885
TCGA-86-A4D0-01A	0.0849358052181844	0	0.126329062214548	0.0354036501858339	0	0.0337263808921615	0.168715635097793	0.0418152419104827	0.000684602822118614	0.0106208173540695	0	0.101527737157459	0.000452804726581514	0.0262068672146508	0.0757375436863282	0.158585267625982	0.0775120577234634	0	0.0499827742490503	0	0	0.0077637519212927
TCGA-NJ-A4YQ-01A	0.041806054565746	0	0.126532821345886	0.160927732766089	0	0.00330912589917501	0.0208362524908518	0.0521839360577969	0.0468298038439092	0.032353416120204	0	0.0469925957580131	0	0.22688169310708	0.0910694588100582	0.0876190974859657	0.0073193329476889	0	0.0553386788015369	0	0	0
TCGA-75-7027-01A	0.0118667593691767	0	0.183357479205083	0.0151579815786107	0	0.102471762737441	0.00129416112260901	0.0168658068684036	0.00202523140871376	0.00586882507844617	0	0.0294659472613017	0.00203061928147477	0.153499783014695	0.0896521843600933	0.193660004670128	0.0411517756344238	0	0.147703055532905	0	0	0.00392862287649473
TCGA-53-7624-01A	0.105056853315086	0	0.0709018088629123	0.0843455382243452	0	0.0862149190885424	0.0309812948359127	0.035676774028395	0.0447243893938019	0	0	0.0217776762937941	0	0.183359177047992	0.170106705627074	0.100100193301567	0	0.0576213896669959	0.00110129415496932	0	0.00803198615861281	0
TCGA-L9-A7SV-01A	0.0539334796157242	0	0.087888745076821	0.138008752609283	0	0.209057197848292	0.0181217398294196	0.109229194069243	0	0	0	0.0127094883226392	0.00893987421723146	0.0307773611676875	0.100537658791531	0.185677125674932	0.0133403253993761	0.000195289871634684	0.0149921444117328	0	0.0165916230944526	0
TCGA-50-8460-01A	0	0.0407044935491241	0.0978464502665964	0.0699548211939204	0	0.11971713153752	0	0.0385556177572477	0.0557786973898205	0	0	0.0424471967799114	0.0691314216587587	0.00617608812626004	0	0.0929744275640959	0.132975012512622	0.0893842125918057	0.144354429072317	0	0	0
TCGA-L9-A444-01A	0.0253972996842472	0	0.108885209816645	0.254360006999265	0	0.130701257008208	0.076252595733876	0.00106539449779573	0.0421146931681176	0	0.0454226183618237	0.0171219635825698	0.00772365852908477	0.0435241728877532	0.096698262828118	0.090467160239118	0.0128303199935161	0	0.04561465704385	0	0	0.00182072962601122
TCGA-05-4249-01A	0.00117217928090385	0.0173300661698661	0.0667953731122255	0.0307963770000038	0	0.0957245379799097	0	0.0362062278404944	0.0308471530722351	0	0	0.00631024879066114	0.00297512446953211	0	0.0421860654353096	0.143259538897085	0.347109110203714	0.013995989510287	0.131164404345844	0	0	0.0341276038919284
TCGA-55-6979-01A	0	0	0.0474526781628348	0.0926714422648615	0	0.107744260553793	0.0561336158814749	0.0394021785480662	0.0486429406626385	0	0	0.0321923213988476	0.00641190746850015	0.149002709745554	0.177793518837119	0.189896422509927	0.0147613727359537	0	0.0298329648088721	0	0	0.0080616664215568
TCGA-75-7025-01A	0.0386444507082407	0.0558087555436136	0.0246488341586113	0.102959450911396	0	0.176636165333095	0	0.020020996251858	0.0526137888420151	0	0.0124311110914093	0.0198173886872842	0.0908109812348225	0	0.00195851059093715	0.0555945796009265	0.188078498819586	0.0823453319495823	0.0776311562766219	0	0	0
TCGA-62-8395-01A	0.00237108804255285	0	0.127383797042292	0.0558163263791617	0	0.141867863804081	3.15107576352181e-05	0.0331878348360938	0.00564752802731812	0	0	0.0206415179835887	0.0174607483749787	0.128590567010559	0.0326650579269377	0.219884303396673	0.127833470078204	0.0103171154326794	0.0763012709072453	0	0	0
